# Hecus319-D2O-30C.dat
#
# sample:	005351.chi
# background:	005205_005207.chi
# scfb = 0.87
# y' = y(sample) - scfb * y(background)
# dy' = sqrt( dy(sample)^2 + ( scfb * dy(background) )^2 )
# Drop 0 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           dI [1/cm]
        0.0134034148        3.4014308272        0.0027836942
        0.0172329619        3.0737009872        0.0013983357
        0.0210625090        2.5620479324        0.0014831814
        0.0248920561        1.7193967262        0.0015121057
        0.0287216032        0.9526405553        0.0010648025
        0.0325511503        0.5628759893        0.0007154318
        0.0363806974        0.3672253780        0.0004487235
        0.0402102445        0.2710827653        0.0002673464
        0.0440397915        0.2265656369        0.0002422635
        0.0478693386        0.1776854618        0.0001865654
        0.0516988857        0.1359519491        0.0001435417
        0.0555284328        0.1045651381        0.0001196871
        0.0593579799        0.0764465432        0.0001074670
        0.0631875270        0.0627989328        0.0000976485
        0.0670170741        0.0544041293        0.0000843221
        0.0708466212        0.0452312831        0.0000662564
        0.0746761683        0.0450685626        0.0000747239
        0.0785057154        0.0430005027        0.0000737233
        0.0823352625        0.0425586031        0.0000734477
        0.0861648095        0.0408359031        0.0000707887
        0.0899943566        0.0379244666        0.0000694087
        0.0938239037        0.0320612619        0.0000669080
        0.0976534508        0.0325319285        0.0000651306
        0.1014829980        0.0328336629        0.0000645842
        0.1053125450        0.0347249063        0.0000600773
        0.1091420920        0.0356458764        0.0000691649
        0.1129716390        0.0359657506        0.0000592614
        0.1168011860        0.0340163778        0.0000601226
        0.1206307330        0.0343267948        0.0000650476
        0.1244602800        0.0330863262        0.0000633657
        0.1282898280        0.0342983080        0.0000680306
        0.1321193750        0.0337425386        0.0000631915
        0.1359489220        0.0354651407        0.0000581596
        0.1397784690        0.0370678634        0.0000573266
        0.1436080160        0.0353318952        0.0000612578
        0.1474375630        0.0368752953        0.0000594589
        0.1512671100        0.0383898401        0.0000614613
        0.1550966570        0.0400635234        0.0000632422
        0.1589262040        0.0397622084        0.0000586257
        0.1627557510        0.0403801089        0.0000617536
        0.1665852980        0.0439917105        0.0000573125
        0.1704148460        0.0468985456        0.0000667777
        0.1742443930        0.0492076350        0.0000645218
        0.1780739400        0.0552632140        0.0000749659
        0.1819034870        0.0629782351        0.0000717950
        0.1857330340        0.0704737001        0.0000809706
        0.1895625810        0.0804874121        0.0000765262
        0.1933921280        0.0917930893        0.0000770796
        0.1972216750        0.1033355581        0.0000879742
        0.2010512220        0.1194515859        0.0000917007
        0.2048807690        0.1372791233        0.0001068188
        0.2087103160        0.1592946147        0.0001106406
        0.2125398640        0.1811849859        0.0001220767
        0.2163694110        0.2088173609        0.0001121034
        0.2201989580        0.2374760371        0.0001118433
        0.2240285050        0.2662189618        0.0001186330
        0.2278580520        0.2930023768        0.0001266602
        0.2316875990        0.3156624510        0.0001479880
        0.2355171460        0.3423570448        0.0001529156
        0.2393466930        0.3623094429        0.0001370724
        0.2431762400        0.3769836307        0.0001527777
        0.2470057870        0.3735990657        0.0001610727
        0.2508353340        0.3686224223        0.0001534401
        0.2546648820        0.3494719771        0.0001759307
        0.2584944290        0.3218873049        0.0001532787
        0.2623239760        0.2918932585        0.0001288120
        0.2661535230        0.2589111734        0.0001295141
        0.2699830700        0.2224890565        0.0001165673
        0.2738126170        0.1900408535        0.0001132265
        0.2776421640        0.1620405740        0.0001058732
        0.2814717110        0.1363049114        0.0001022841
        0.2853012580        0.1124275197        0.0000968752
        0.2891308050        0.0893608641        0.0000803991
        0.2929603520        0.0711093106        0.0000738619
        0.2967899000        0.0577950258        0.0000629214
        0.3006194470        0.0468608645        0.0000540927
        0.3044489940        0.0386562289        0.0000591391
        0.3082785410        0.0324118900        0.0000526306
        0.3121080880        0.0273401766        0.0000523394
        0.3159376350        0.0247046994        0.0000472814
        0.3197671820        0.0225002681        0.0000479237
        0.3235967290        0.0203846444        0.0000457072
        0.3274262760        0.0202273925        0.0000432839
        0.3312558230        0.0200518037        0.0000450652
        0.3350853700        0.0199341615        0.0000536441
        0.3389149180        0.0184446235        0.0000555610
        0.3427444650        0.0186836230        0.0000529125
        0.3465740120        0.0182958846        0.0000413568
        0.3504035590        0.0182086100        0.0000475003
        0.3542331060        0.0181982552        0.0000506404
        0.3580626530        0.0183145261        0.0000480230
        0.3618922000        0.0180037547        0.0000544170
        0.3657217470        0.0162414270        0.0000473948
        0.3695512940        0.0155079538        0.0000487857
        0.3733808410        0.0146023878        0.0000489153
        0.3772103880        0.0142559942        0.0000496386
        0.3810399360        0.0127122307        0.0000495769
        0.3848694830        0.0115041294        0.0000489171
        0.3886990300        0.0121893761        0.0000486256
        0.3925285770        0.0120108861        0.0000509168
        0.3963581240        0.0111529526        0.0000432552
        0.4001876710        0.0103361950        0.0000449340
        0.4040172180        0.0107434883        0.0000394073
        0.4078467650        0.0108691313        0.0000472572
        0.4116763120        0.0101277246        0.0000428417
        0.4155058590        0.0098097797        0.0000466621
        0.4193354060        0.0093182852        0.0000499598
        0.4231649540        0.0087955440        0.0000476442
        0.4269945010        0.0087902656        0.0000449253
        0.4308240480        0.0078913065        0.0000525763
        0.4346535950        0.0083788619        0.0000526216
        0.4384831420        0.0071674141        0.0000537704
        0.4423126890        0.0083748391        0.0000523608
        0.4461422360        0.0081188541        0.0000534631
        0.4499717830        0.0080062325        0.0000488308
        0.4538013300        0.0070786090        0.0000522882
        0.4576308770        0.0078651498        0.0000572949
        0.4614604240        0.0081537369        0.0000585607
        0.4652899720        0.0063856649        0.0000489503
        0.4691195190        0.0062496157        0.0000501039
        0.4729490660        0.0064401284        0.0000534649
        0.4767786130        0.0067067834        0.0000542915
        0.4806081600        0.0070693209        0.0000546338
        0.4844377070        0.0062856505        0.0000591772
        0.4882672540        0.0069493275        0.0000518677
        0.4920968010        0.0068287264        0.0000551409
        0.4959263480        0.0069572207        0.0000564103
        0.4997558950        0.0073038896        0.0000565475
        0.5035854420        0.0068232249        0.0000516538
        0.5074149900        0.0069007491        0.0000624007
        0.5112445370        0.0072916475        0.0000578816
