# Hecus331_03-D2O-30C.dat
#
# sample:	005435_005436.chi
# background:	005205_005207.chi
# scfb = 0.9612
# y' = y(sample) - scfb * y(background)
# dy' = sqrt( dy(sample)^2 + ( scfb * dy(background) )^2 )
# Drop 0 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           dI [1/cm]
        0.0134034148        0.8629728145        0.0010091661
        0.0172329619        0.6736407765        0.0009254375
        0.0210625090        0.4572024293        0.0006974708
        0.0248920561        0.3099482082        0.0004589977
        0.0287216032        0.2161714875        0.0003523862
        0.0325511503        0.1542987723        0.0003121711
        0.0363806974        0.1039259629        0.0002070122
        0.0402102445        0.0780545775        0.0001502864
        0.0440397915        0.0616695182        0.0001514834
        0.0478693386        0.0458973134        0.0001207116
        0.0516988857        0.0352030294        0.0000764167
        0.0555284328        0.0253400482        0.0000688973
        0.0593579799        0.0207741753        0.0000682923
        0.0631875270        0.0166666246        0.0000545438
        0.0670170741        0.0119993833        0.0000484979
        0.0708466212        0.0124975866        0.0000452620
        0.0746761683        0.0132210424        0.0000480599
        0.0785057154        0.0119341268        0.0000459871
        0.0823352625        0.0099652702        0.0000392215
        0.0861648095        0.0091493817        0.0000372223
        0.0899943566        0.0114333815        0.0000386460
        0.0938239037        0.0114146171        0.0000420306
        0.0976534508        0.0105217471        0.0000430851
        0.1014829980        0.0118573820        0.0000400200
        0.1053125450        0.0118754879        0.0000400039
        0.1091420920        0.0110685172        0.0000352936
        0.1129716390        0.0117966079        0.0000383659
        0.1168011860        0.0123358932        0.0000420689
        0.1206307330        0.0115121392        0.0000440256
        0.1244602800        0.0114453708        0.0000410613
        0.1282898280        0.0121180789        0.0000377253
        0.1321193750        0.0125269032        0.0000358706
        0.1359489220        0.0122399130        0.0000387242
        0.1397784690        0.0110026805        0.0000350554
        0.1436080160        0.0109805666        0.0000366214
        0.1474375630        0.0106637951        0.0000340156
        0.1512671100        0.0110422641        0.0000359488
        0.1550966570        0.0086617305        0.0000351198
        0.1589262040        0.0090095289        0.0000374451
        0.1627557510        0.0105352583        0.0000373407
        0.1665852980        0.0104436130        0.0000362358
        0.1704148460        0.0130501127        0.0000380205
        0.1742443930        0.0151270621        0.0000373817
        0.1780739400        0.0175128089        0.0000390268
        0.1819034870        0.0203741795        0.0000390166
        0.1857330340        0.0255332823        0.0000390189
        0.1895625810        0.0303310026        0.0000392367
        0.1933921280        0.0365122791        0.0000477246
        0.1972216750        0.0421872271        0.0000451271
        0.2010512220        0.0496633241        0.0000473524
        0.2048807690        0.0553241670        0.0000498950
        0.2087103160        0.0633974752        0.0000515941
        0.2125398640        0.0713230777        0.0000529787
        0.2163694110        0.0784167762        0.0000591352
        0.2201989580        0.0878712531        0.0000615344
        0.2240285050        0.0923814928        0.0000616215
        0.2278580520        0.1002984839        0.0000651578
        0.2316875990        0.1080506112        0.0000642512
        0.2355171460        0.1121217846        0.0000659508
        0.2393466930        0.1115656507        0.0000615743
        0.2431762400        0.1113692768        0.0000654477
        0.2470057870        0.1096670840        0.0000608770
        0.2508353340        0.1053406929        0.0000614879
        0.2546648820        0.1008912966        0.0000633776
        0.2584944290        0.0951558307        0.0000569380
        0.2623239760        0.0866429873        0.0000511786
        0.2661535230        0.0804658514        0.0000554853
        0.2699830700        0.0701385602        0.0000554183
        0.2738126170        0.0635320510        0.0000503305
        0.2776421640        0.0564476083        0.0000476440
        0.2814717110        0.0482368439        0.0000426795
        0.2853012580        0.0405638054        0.0000378170
        0.2891308050        0.0338781468        0.0000413596
        0.2929603520        0.0285013719        0.0000414694
        0.2967899000        0.0239704302        0.0000392485
        0.3006194470        0.0202675568        0.0000314697
        0.3044489940        0.0158940344        0.0000320615
        0.3082785410        0.0127368160        0.0000323338
        0.3121080880        0.0106326058        0.0000311434
        0.3159376350        0.0091135656        0.0000302509
        0.3197671820        0.0063880004        0.0000277670
        0.3235967290        0.0055741038        0.0000275338
        0.3274262760        0.0055290541        0.0000281146
        0.3312558230        0.0055239179        0.0000280165
        0.3350853700        0.0055716336        0.0000381497
        0.3389149180        0.0055184891        0.0000383679
        0.3427444650        0.0064732365        0.0000328161
        0.3465740120        0.0067469649        0.0000391287
        0.3504035590        0.0071984798        0.0000371904
        0.3542331060        0.0088631903        0.0000369609
        0.3580626530        0.0078333276        0.0000394699
        0.3618922000        0.0079301745        0.0000410190
        0.3657217470        0.0083848760        0.0000404014
        0.3695512940        0.0075759599        0.0000363628
        0.3733808410        0.0072820117        0.0000336333
        0.3772103880        0.0075049561        0.0000365052
        0.3810399360        0.0074917578        0.0000374657
        0.3848694830        0.0067712956        0.0000421378
        0.3886990300        0.0065014939        0.0000399643
        0.3925285770        0.0060368607        0.0000380619
        0.3963581240        0.0048564897        0.0000374584
        0.4001876710        0.0048286307        0.0000334038
        0.4040172180        0.0053923586        0.0000329144
        0.4078467650        0.0052664909        0.0000354214
        0.4116763120        0.0039928263        0.0000382681
        0.4155058590        0.0038521079        0.0000378146
        0.4193354060        0.0042909211        0.0000367465
        0.4231649540        0.0036248795        0.0000349664
        0.4269945010        0.0037408664        0.0000349583
        0.4308240480        0.0037474999        0.0000372431
        0.4346535950        0.0044254839        0.0000390789
        0.4384831420        0.0039248142        0.0000429315
        0.4423126890        0.0042319132        0.0000401489
        0.4461422360        0.0043729676        0.0000400921
        0.4499717830        0.0041882662        0.0000351616
        0.4538013300        0.0039480983        0.0000399487
        0.4576308770        0.0032647021        0.0000429464
        0.4614604240        0.0035118425        0.0000429301
        0.4652899720        0.0036558304        0.0000433415
        0.4691195190        0.0025545044        0.0000402716
        0.4729490660        0.0036865339        0.0000469666
        0.4767786130        0.0033344467        0.0000423853
        0.4806081600        0.0039974653        0.0000383877
        0.4844377070        0.0032109116        0.0000474259
        0.4882672540        0.0036485737        0.0000491850
        0.4920968010        0.0027809728        0.0000509203
        0.4959263480        0.0032650547        0.0000557377
        0.4997558950        0.0036916261        0.0000463603
        0.5035854420        0.0028697913        0.0000452251
        0.5074149900        0.0031200968        0.0000528473
        0.5112445370        0.0046185502        0.0000529715
        0.5150740840        0.0043944638        0.0000497729
        0.5189036310        0.0034763782        0.0000487894
        0.5227331780        0.0037230990        0.0000457235
        0.5265627250        0.0038587877        0.0000473974
        0.5303922720        0.0040097284        0.0000399244
        0.5342218190        0.0045727931        0.0000438502
        0.5380513660        0.0048133681        0.0000549102
        0.5418809130        0.0042606793        0.0000504532
        0.5457104600        0.0049275985        0.0000459937
        0.5495400080        0.0037662454        0.0000493824
        0.5533695550        0.0044939319        0.0000454569
        0.5571991020        0.0036158345        0.0000458044
        0.5610286490        0.0047523526        0.0000506428
        0.5648581960        0.0048457434        0.0000561678
        0.5686877430        0.0047209970        0.0000543335
        0.5725172900        0.0042954968        0.0000554242
        0.5763468370        0.0037710045        0.0000507592
        0.5801763840        0.0039859505        0.0000508328
        0.5840059310        0.0037605745        0.0000586171
        0.5878354780        0.0036376913        0.0000572459
        0.5916650260        0.0042879222        0.0000509926
        0.5954945730        0.0034063182        0.0000466016
        0.5993241200        0.0041443435        0.0000574672
        0.6031536670        0.0037277435        0.0000482270
        0.6069832140        0.0028715480        0.0000549923
        0.6108127610        0.0031807558        0.0000545867
        0.6146423080        0.0036468164        0.0000472379
        0.6184718550        0.0034572183        0.0000561188
        0.6223014020        0.0032177248        0.0000599227
        0.6261309490        0.0018964326        0.0000592223
        0.6299604960        0.0034933784        0.0000551321
        0.6337900440        0.0040688254        0.0000490630
        0.6376195910        0.0035257894        0.0000516808
        0.6414491380        0.0040339032        0.0000574918
        0.6452786850        0.0039201135        0.0000545989
        0.6491082320        0.0038861507        0.0000635820
        0.6529377790        0.0045986703        0.0000609529
        0.6567673260        0.0048276446        0.0000563789
        0.6605968730        0.0044591653        0.0000551864
        0.6644264200        0.0040087037        0.0000591265
        0.6682559670        0.0054565103        0.0000728110
        0.6720855140        0.0050681835        0.0000705249
        0.6759150620        0.0056801238        0.0000748352
        0.6797446090        0.0049473572        0.0000671586
        0.6835741560        0.0048932735        0.0000568560
        0.6874037030        0.0046099019        0.0000814780
        0.6912332500        0.0042024035        0.0000902086
        0.6950627970        0.0052054164        0.0000928684
        0.6988923440        0.0052614785        0.0000582198
        0.7027218910        0.0051976650        0.0000699836
        0.7065514380        0.0052743837        0.0000730750
        0.7103809850        0.0052693360        0.0000805723
        0.7142105320        0.0045937117        0.0000627549
        0.7180400800        0.0049377159        0.0000590301
        0.7218696270        0.0052991641        0.0000692013
        0.7256991740        0.0056947288        0.0000706772
        0.7295287210        0.0053803741        0.0000748823
        0.7333582680        0.0058441180        0.0000722393
        0.7371878150        0.0048442948        0.0000861930
        0.7410173620        0.0041254385        0.0000839472
        0.7448469090        0.0047123074        0.0000672044
        0.7486764560        0.0043194324        0.0000682667
        0.7525060030        0.0037127535        0.0000691647
        0.7563355500        0.0043724052        0.0000670233
        0.7601650980        0.0053004724        0.0000679659
        0.7639946450        0.0045226048        0.0000632498
        0.7678241920        0.0040361144        0.0000635094
        0.7716537390        0.0041715490        0.0000669089
        0.7754832860        0.0035201219        0.0000648280
        0.7793128330        0.0034297411        0.0000666806
        0.7831423800        0.0039799187        0.0000659660
        0.7869719270        0.0039999175        0.0000806804
        0.7908014740        0.0032371295        0.0001061483
        0.7946310210        0.0041244541        0.0001084743
        0.7984605680        0.0036252303        0.0001047482
        0.8022901160        0.0041886185        0.0000806536
        0.8061196630        0.0031833552        0.0000820478
        0.8099492100        0.0036745822        0.0000921598
        0.8137787570        0.0028300717        0.0001119174
        0.8176083040        0.0029736426        0.0001200399
        0.8214378510        0.0021325880        0.0001239756
        0.8252673980        0.0004527908        0.0002352725
        0.8290969450        0.0037233815        0.0002611193
        0.8329264920        0.0033025481        0.0002527120
        0.8367560390        0.0024454849        0.0002453418
        0.8405855860        0.0022336468        0.0001535458
        0.8444151340        0.0023858533        0.0003049157
        0.8482446810        0.0031170937        0.0002867815
        0.8520742280        0.0037688388        0.0002774526
        0.8559037750        0.0042966025        0.0006260069
        0.8597333220        0.0051374306        0.0006276458
        0.8635628690        0.0045554232        0.0008420646
        0.8673924160        0.0022862279        0.0007302311
        0.8712219630        0.0041535011        0.0011614105
