# Hecus337-D2O-30C.dat
#
# sample:	005450_005453.chi
# background:	005205_005207.chi
# scfb = 0.87
# y' = y(sample) - scfb * y(background)
# dy' = sqrt( dy(sample)^2 + ( scfb * dy(background) )^2 )
# Drop 0 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           dI [1/cm]
        0.0134034148        1.8076173372        0.0007537650
        0.0172329619        1.7975825372        0.0005725124
        0.0210625090        1.7940739524        0.0009173170
        0.0248920561        1.5344083062        0.0011228888
        0.0287216032        0.9450195013        0.0011952452
        0.0325511503        0.4797605463        0.0008812804
        0.0363806974        0.2690314120        0.0004344987
        0.0402102445        0.1932043473        0.0002901611
        0.0440397915        0.1649383269        0.0001942163
        0.0478693386        0.1509353408        0.0001662663
        0.0516988857        0.1471075621        0.0001746194
        0.0555284328        0.1202042211        0.0001337713
        0.0593579799        0.0869209799        0.0001090581
        0.0631875270        0.0689173286        0.0000923514
        0.0670170741        0.0566248521        0.0000661131
        0.0708466212        0.0525184598        0.0000625671
        0.0746761683        0.0541700322        0.0000687808
        0.0785057154        0.0567584211        0.0000687303
        0.0823352625        0.0577222961        0.0000633889
        0.0861648095        0.0571881568        0.0000678119
        0.0899943566        0.0544685106        0.0000744041
        0.0938239037        0.0517958511        0.0000565504
        0.0976534508        0.0501096446        0.0000537154
        0.1014829980        0.0492927683        0.0000548665
        0.1053125450        0.0496279857        0.0000546183
        0.1091420920        0.0536594464        0.0000568932
        0.1129716390        0.0579575415        0.0000675418
        0.1168011860        0.0583307526        0.0000677299
        0.1206307330        0.0556807674        0.0000586851
        0.1244602800        0.0541703508        0.0000566491
        0.1282898280        0.0546553713        0.0000482928
        0.1321193750        0.0563103949        0.0000480891
        0.1359489220        0.0562720440        0.0000576033
        0.1397784690        0.0567067339        0.0000493524
        0.1436080160        0.0574872891        0.0000548635
        0.1474375630        0.0590744631        0.0000596198
        0.1512671100        0.0608782911        0.0000470533
        0.1550966570        0.0589544190        0.0000518108
        0.1589262040        0.0595052272        0.0000524325
        0.1627557510        0.0613837235        0.0000559412
        0.1665852980        0.0648987287        0.0000596160
        0.1704148460        0.0673431706        0.0000542079
        0.1742443930        0.0705213719        0.0000595392
        0.1780739400        0.0778215654        0.0000565384
        0.1819034870        0.0845336467        0.0000485250
        0.1857330340        0.0946163662        0.0000592588
        0.1895625810        0.1062636558        0.0000668025
        0.1933921280        0.1228065973        0.0000755955
        0.1972216750        0.1420187701        0.0000703628
        0.2010512220        0.1618306279        0.0000861978
        0.2048807690        0.1857964593        0.0001001889
        0.2087103160        0.2106435467        0.0001081559
        0.2125398640        0.2326599659        0.0001217848
        0.2163694110        0.2612610959        0.0001260763
        0.2201989580        0.2919740041        0.0001466976
        0.2240285050        0.3236175948        0.0001747329
        0.2278580520        0.3581501188        0.0002184905
        0.2316875990        0.3803029370        0.0002282916
        0.2355171460        0.3958646858        0.0002340445
        0.2393466930        0.4023266969        0.0002655944
        0.2431762400        0.4019991807        0.0002775845
        0.2470057870        0.3918328457        0.0002808059
        0.2508353340        0.3756733303        0.0002848827
        0.2546648820        0.3525333491        0.0002502190
        0.2584944290        0.3219789969        0.0002435779
        0.2623239760        0.2898198695        0.0002344071
        0.2661535230        0.2559089504        0.0002181999
        0.2699830700        0.2206021135        0.0001852096
        0.2738126170        0.1884868725        0.0001658950
        0.2776421640        0.1599092500        0.0001482442
        0.2814717110        0.1321609584        0.0001195798
        0.2853012580        0.1097483377        0.0001041636
        0.2891308050        0.0906111221        0.0000872374
        0.2929603520        0.0738344690        0.0000783005
        0.2967899000        0.0604461830        0.0000635843
        0.3006194470        0.0499022825        0.0000566941
        0.3044489940        0.0409538163        0.0000472390
        0.3082785410        0.0345597219        0.0000452412
        0.3121080880        0.0307025421        0.0000392680
        0.3159376350        0.0273939919        0.0000374892
        0.3197671820        0.0243691469        0.0000360167
        0.3235967290        0.0238076900        0.0000345128
        0.3274262760        0.0238021592        0.0000349579
        0.3312558230        0.0224831314        0.0000338451
        0.3350853700        0.0205176806        0.0000471459
        0.3389149180        0.0199781306        0.0000481264
        0.3427444650        0.0205259275        0.0000422375
        0.3465740120        0.0186345490        0.0000458224
        0.3504035590        0.0184913600        0.0000465973
        0.3542331060        0.0191859835        0.0000396527
        0.3580626530        0.0184436099        0.0000386870
        0.3618922000        0.0175387657        0.0000385562
        0.3657217470        0.0164066106        0.0000425811
        0.3695512940        0.0150490813        0.0000436579
        0.3733808410        0.0138234253        0.0000413866
        0.3772103880        0.0135541109        0.0000424529
        0.3810399360        0.0127945520        0.0000428587
        0.3848694830        0.0124030695        0.0000430983
        0.3886990300        0.0117500042        0.0000441407
        0.3925285770        0.0110973253        0.0000396944
        0.3963581240        0.0105665598        0.0000324588
        0.4001876710        0.0101188069        0.0000394265
        0.4040172180        0.0098437790        0.0000385950
        0.4078467650        0.0098616635        0.0000379784
        0.4116763120        0.0091017091        0.0000398187
        0.4155058590        0.0081763943        0.0000405806
        0.4193354060        0.0083062211        0.0000428380
        0.4231649540        0.0077178335        0.0000349746
        0.4269945010        0.0073383397        0.0000384467
        0.4308240480        0.0075925294        0.0000438823
        0.4346535950        0.0074044006        0.0000460672
        0.4384831420        0.0068169309        0.0000438046
        0.4423126890        0.0069891898        0.0000475241
        0.4461422360        0.0075146878        0.0000407916
        0.4499717830        0.0069260110        0.0000423671
        0.4538013300        0.0064758192        0.0000416794
        0.4576308770        0.0057463440        0.0000475183
        0.4614604240        0.0066587656        0.0000505907
        0.4652899720        0.0063132045        0.0000433952
        0.4691195190        0.0054071680        0.0000454337
        0.4729490660        0.0067945662        0.0000513705
        0.4767786130        0.0066729618        0.0000392487
        0.4806081600        0.0072271089        0.0000422311
        0.4844377070        0.0069415074        0.0000447393
        0.4882672540        0.0076854894        0.0000401407
        0.4920968010        0.0074052777        0.0000439534
        0.4959263480        0.0079741841        0.0000440727
        0.4997558950        0.0081157624        0.0000464972
        0.5035854420        0.0072213917        0.0000473906
        0.5074149900        0.0073908307        0.0000503499
        0.5112445370        0.0077078413        0.0000499219
        0.5150740840        0.0079379634        0.0000519405
        0.5189036310        0.0079529141        0.0000469699
        0.5227331780        0.0077878688        0.0000597409
        0.5265627250        0.0075800549        0.0000590982
        0.5303922720        0.0076948339        0.0000451684
        0.5342218190        0.0080779294        0.0000448901
        0.5380513660        0.0089401624        0.0000503672
        0.5418809130        0.0086851412        0.0000459307
        0.5457104600        0.0070464344        0.0000525439
        0.5495400080        0.0074044410        0.0000588685
        0.5533695550        0.0073698048        0.0000564375
        0.5571991020        0.0070839511        0.0000480835
        0.5610286490        0.0069984905        0.0000501542
        0.5648581960        0.0077698484        0.0000554702
        0.5686877430        0.0072921636        0.0000512874
        0.5725172900        0.0060923562        0.0000553471
        0.5763468370        0.0069283375        0.0000484114
        0.5801763840        0.0070597790        0.0000475688
        0.5840059310        0.0065269661        0.0000570261
        0.5878354780        0.0076160290        0.0000586146
        0.5916650260        0.0068524097        0.0000568830
        0.5954945730        0.0060264695        0.0000443042
        0.5993241200        0.0067048992        0.0000547021
        0.6031536670        0.0067373481        0.0000514137
        0.6069832140        0.0061874601        0.0000588009
        0.6108127610        0.0063661570        0.0000614052
        0.6146423080        0.0068527874        0.0000619243
        0.6184718550        0.0074733048        0.0000590160
        0.6223014020        0.0073560797        0.0000477146
        0.6261309490        0.0063380317        0.0000573129
        0.6299604960        0.0068820595        0.0000732033
        0.6337900440        0.0069012273        0.0000678102
        0.6376195910        0.0059702457        0.0000709388
        0.6414491380        0.0062596936        0.0000674997
