# JCNS319-30C.dat
#
# low-Q:
# sample:	QI-53347-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 0 points at the beginning and 8 points at the end
#
# middle-Q:
# sample:	QI-53312-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 2 points at the beginning and 7 points at the end
#
# high-Q:
# sample:	QI-53295-KWS-HF.RAD
# y' = y(sample)
# dy' = dy(sample)
# Drop 8 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           ds [1/nm]           dI [1/cm]
        0.0041090741    13323.9579550000        0.0015251769       20.2235484150
        0.0046960828    11315.7065950000        0.0015373512        9.2665428675
        0.0052830908     9380.6866120000        0.0015510331        6.5922379670
        0.0058700979     7816.2882860000        0.0015661833        5.2803609270
        0.0064571041     6541.3211495000        0.0015827594        4.5260766875
        0.0070441093     5565.1176415000        0.0016007172        3.9838432875
        0.0076311133     4822.4876315000        0.0016200108        3.5473667850
        0.0082181161     4198.7284995000        0.0016405930        3.1575618445
        0.0088051177     3700.1001470000        0.0016624159        2.8343259880
        0.0093921178     3404.2944195000        0.0016854313        2.6232331950
        0.0099791164     3188.2283860000        0.0017095911        2.5051548260
        0.0105661134     2868.6183660000        0.0017348474        2.2509157310
        0.0111531088     2657.6214280000        0.0017611530        2.0940773240
        0.0117401023     2491.6265410000        0.0017884616        1.9661136160
        0.0119861379     2367.7843130000        0.0016701770        1.7178274965
        0.0123270940     2351.7567110000        0.0018167280        1.8627171930
        0.0129140838     2226.4624460000        0.0018459081        1.7691418890
        0.0134843655     2134.8354305000        0.0017506468        1.2526815330
        0.0135010714     2128.9321780000        0.0018759593        1.6870177140
        0.0140880570     2048.2171190000        0.0019068405        1.6181284545
        0.0146750402     1972.7633405000        0.0019385118        1.5546846425
        0.0149825791     1963.0916850000        0.0018364146        1.0355565060
        0.0152620212     1898.6462500000        0.0019709352        1.4980411585
        0.0158489997     1841.3625515000        0.0020040742        1.4839854810
        0.0164359757     1893.0770745000        0.0020378938        1.7260962965
        0.0164807772     1830.3414780000        0.0019267727        0.9404813154
        0.0170229490     1868.9908410000        0.0020723607        1.6743100675
        0.0176099197     1764.6872820000        0.0021074432        1.4756746435
        0.0179789580     1738.5675735000        0.0020211052        0.8685741605
        0.0181968876     1714.9258545000        0.0021431109        1.3605050130
        0.0187838525     1729.6223355000        0.0021793351        1.3585021470
        0.0193708145     1739.5779555000        0.0022160886        1.3651304775
        0.0194771203     1677.7810540000        0.0021188808        0.8140814489
        0.0199577733     1710.6837340000        0.0022533453        1.3003085100
        0.0205447291     1684.1635340000        0.0022910807        1.2690006900
        0.0209752625     1601.7786695000        0.0022196444        0.7579429185
        0.0211316815     1652.5539940000        0.0023292715        1.2371398750
        0.0217186305     1623.6917970000        0.0023678957        1.2088423010
        0.0223055761     1589.6659225000        0.0024069323        1.1885424825
        0.0224733827     1508.8680615000        0.0023230067        0.7072235204
        0.0228925182     1550.2880805000        0.0024463617        1.1726360910
        0.0234794566     1493.7628240000        0.0024861650        1.1417501090
        0.0239714797     1430.7964060000        0.0024286355        0.6701411112
        0.0240663913     1438.9486315000        0.0025263247        1.0900603905
        0.0246533221     1371.4205605000        0.0025668239        1.0543650050
        0.0252402489     1296.1334405000        0.0026076467        1.0176813820
        0.0254695519     1334.3523395000        0.0025362473        0.6325668670
        0.0258271719     1218.2028220000        0.0026487783        0.9557831915
        0.0264140906     1132.8671625000        0.0026902044        0.9059558616
        0.0269675974     1131.9305860000        0.0026455997        0.5503336026
        0.0270010052     1050.7765985000        0.0027319116        0.8599971558
        0.0275879154      962.2154705000        0.0027738872        0.8202893817
        0.0281748213      897.6343308500        0.0028161192        0.8173657082
        0.0284656152      926.5478981500        0.0027564850        0.4809344999
        0.0287617226      837.7666931500        0.0028585961        0.8351555364
        0.0293486195      766.8711533500        0.0029013072        0.7906075465
        0.0299355117      705.7513786000        0.0029442423        0.7413374429
        0.0299636033      737.1931581000        0.0028687252        0.4155918716
        0.0305223990      647.6357043000        0.0029873917        0.7097016961
        0.0311092814      599.1472730000        0.0030307462        0.6761789359
        0.0314615604      578.9510653000        0.0029821667        0.3568560516
        0.0316961589      556.6968631000        0.0030742970        0.6433687099
        0.0322830315      515.0318847000        0.0031180361        0.6079711286
        0.0328698988      478.8534251500        0.0031619554        0.5761201869
        0.0329594849      457.8230557000        0.0030966772        0.3112825974
        0.0334567610      442.3904301500        0.0032060476        0.5590331050
        0.0340436178      406.5558905500        0.0032503056        0.5879872687
        0.0344573751      369.1994652000        0.0032121419        0.2749955225
