# JCNS331_03-30C.dat
#
# low-Q:
# sample:	QI-53356-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 0 points at the beginning and 8 points at the end
#
# middle-Q:
# sample:	QI-53321-KWS-HF.RAD
# scf = 0.98
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 14 points at the beginning and 8 points at the end
#
# high-Q:
# sample:	QI-53304-KWS-HF.RAD
# y' = y(sample)
# dy' = dy(sample)
# Drop 7 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           ds [1/nm]           dI [1/cm]
        0.0041090741     5082.1828425000        0.0015251769        8.2984818095
        0.0046960828     4484.4251915000        0.0015373512        3.9019580375
        0.0052830908     3897.8608680000        0.0015510331        2.8429765645
        0.0058700979     3433.5670165000        0.0015661833        2.3412842435
        0.0064571041     3050.5461400000        0.0015827594        2.0670600175
        0.0070441093     2739.1246260000        0.0016007172        1.8668869900
        0.0076311133     2477.8155930000        0.0016200108        1.6996885290
        0.0082181161     2252.0030440000        0.0016405930        1.5485697205
        0.0088051177     2049.2230455000        0.0016624159        1.4134016875
        0.0093921178     1911.2368850000        0.0016854313        1.3175272030
        0.0099791164     1799.9559465000        0.0017095911        1.2574148510
        0.0105661134     1662.1592160000        0.0017348474        1.1472441870
        0.0111531088     1545.2673495000        0.0017611530        1.0686722900
        0.0117401023     1448.3631315000        0.0017884616        1.0034789485
        0.0123270940     1358.3114345000        0.0018167280        0.9479679680
        0.0129140838     1267.1749610000        0.0018459081        0.8932988443
        0.0135010714     1187.0138375000        0.0018759593        0.8425958804
        0.0140880570     1111.8973945000        0.0019068405        0.7968405032
        0.0146750402     1033.2668160000        0.0019385118        0.7513902782
        0.0152620212      956.3815110000        0.0019709352        0.7106215403
        0.0158489997      886.3185673500        0.0020040742        0.6871401804
        0.0164359757      843.5486477500        0.0020378938        0.7598036388
        0.0170229490      773.4161099500        0.0020723607        0.7143876880
        0.0176099197      697.9231249500        0.0021074432        0.6177407946
        0.0181968876      640.6044911500        0.0021431109        0.5554286663
        0.0187838525      592.8887974500        0.0021793351        0.5290007151
        0.0193708145      549.8339757000        0.0022160886        0.5111423871
        0.0199577733      503.7285994500        0.0022533453        0.4705557584
        0.0205447291      461.7531449000        0.0022910807        0.4434287963
        0.0211316815      423.7724888000        0.0023292715        0.4184785350
        0.0217186305      390.8806454500        0.0023678957        0.3954857097
        0.0223055761      361.9660084500        0.0024069323        0.3789508875
        0.0228925182      338.4936250500        0.0024463617        0.3653733630
        0.0234794566      315.9625472500        0.0024861650        0.3509729163
        0.0240663913      296.0051249000        0.0025263247        0.3312764618
        0.0246533221      278.1322970500        0.0025668239        0.3182225222
        0.0252402489      261.1226762500        0.0026076467        0.3057476029
        0.0258271719      246.5107300500        0.0026487783        0.2881322108
        0.0264140906      232.9965041000        0.0026902044        0.2757758002
        0.0270010052      220.1292158000        0.0027319116        0.2638114062
        0.0275879154      208.3268366500        0.0027738872        0.2559091219
        0.0281748213      199.4592640000        0.0028161192        0.2576890134
        0.0287617226      191.4679010500        0.0028585961        0.2663011244
        0.0293486195      182.3724671000        0.0029013072        0.2576882629
        0.0299355117      174.7948966000        0.0029442423        0.2470987715
        0.0299636033      183.5564774400        0.0028687252        0.2001505127
        0.0305223990      166.8982762000        0.0029873917        0.2413377369
        0.0311092814      159.4849939500        0.0030307462        0.2335460668
        0.0314615604      159.8030434000        0.0029821667        0.1811211088
        0.0316961589      152.4173749000        0.0030742970        0.2253217781
        0.0322830315      146.7148526500        0.0031180361        0.2176614379
        0.0328698988      140.9398587000        0.0031619554        0.2092493047
        0.0329594849      139.4705855200        0.0030966772        0.1659750707
        0.0334567610      133.5212032500        0.0032060476        0.2064130066
        0.0340436178      126.6582389000        0.0032503056        0.2205868831
        0.0344573751      121.7554116800        0.0032121419        0.1524643056
        0.0346304692      120.5821006500        0.0032947228        0.2337559921
        0.0352173150      113.6758353000        0.0033392926        0.2366770264
        0.0358041552      108.7551136500        0.0033840091        0.2447660399
        0.0359552295      105.7368128600        0.0033284609        0.1377023607
        0.0363909897      103.9721021000        0.0034288665        0.2533154005
        0.0369778185       98.1388019000        0.0034738593        0.2586165326
        0.0374530467       92.2198554340        0.0034455474        0.1259988607
        0.0375646414       93.9525139450        0.0035189823        0.2613668310
        0.0381514583       88.9198618700        0.0035642305        0.2629055223
        0.0387382691       84.9975088050        0.0036095992        0.2693378250
        0.0389508251       79.8211181880        0.0035633251        0.1146853653
        0.0393250737       79.8082092350        0.0036550839        0.2706572895
        0.0399118720       77.4260332200        0.0037006802        0.2794641182
        0.0404485630       69.6237005520        0.0036817274        0.1066547259
        0.0404986641       73.4569451900        0.0037463841        0.2937211530
        0.0410854497       70.6387830150        0.0037921916        0.3063057649
        0.0416722287       67.5524714650        0.0038380990        0.3255356108
        0.0419462591       64.9146725640        0.0038006953        0.1194090134
        0.0422590011       64.7047696100        0.0038841027        0.3429315083
        0.0428457667       62.1196070950        0.0039301994        0.3641979147
        0.0434439116       57.0843132160        0.0039201770        0.1091419463
        0.0449415190       49.2077472600        0.0040401263        0.0928896992
        0.0464390798       43.7220419300        0.0041605022        0.0815388320
        0.0479365924       39.6567440920        0.0042812685        0.0768794542
        0.0494340553       35.2370049500        0.0044023924        0.0722696606
        0.0509314671       31.1226491940        0.0045238447        0.0659405760
        0.0524288260       27.5488735900        0.0046455993        0.0607715045
        0.0539261305       24.3310411400        0.0047676324        0.0564256708
        0.0554233791       21.3871124180        0.0048899227        0.0524154823
        0.0569205701       18.9698382440        0.0050124510        0.0488083953
        0.0584177023       16.9001553700        0.0051351996        0.0459010247
        0.0599147739       14.9745439620        0.0052581527        0.0427276899
